keyword,title,company,location,career,education,work_type,deadline,link,rec_idx,crawled_at
헬스케어,[스포애니 케이디헬스케어] 중대재해예방 안전관리 팀장 채용,(주)케이디헬스케어,"['서울', '송파구']",경력3년↑,초대졸↑,정규직,채용시,/zf_user/jobs/relay/view?view_type=search&rec_idx=51583809&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=3a3c0aaa-5f54-4407-a76a-c436b7857101,51583809,2025-09-02 05:55:59
헬스케어,[헬스케어/인사총무] HR/GA Senior,로버트월터스코리아(주),"['서울', '중구']",경력,대졸↑,정규직,채용시,/zf_user/jobs/relay/view?view_type=search&rec_idx=51657096&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=3a3c0aaa-5f54-4407-a76a-c436b7857101,51657096,2025-09-02 05:55:59
헬스케어,동국헬스케어엠앤아이(주) 재무회계 담당 모집,동국헬스케어엠앤아이(주),"['서울', '강남구']",경력 3~5년,대졸↑,정규직,채용시,/zf_user/jobs/relay/view?view_type=search&rec_idx=51711208&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=3a3c0aaa-5f54-4407-a76a-c436b7857101,51711208,2025-09-02 05:55:59
헬스케어,누리헬스케어대구지사 납품/배송기사 신입 채용,누리헬스케어,"['대구', '북구']",경력무관,학력무관,정규직,채용시,/zf_user/jobs/relay/view?view_type=search&rec_idx=51467700&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=3a3c0aaa-5f54-4407-a76a-c436b7857101,51467700,2025-09-02 05:55:59
헬스케어,헬스케어·의료기기 유통/브랜딩 온라인사업팀 채용공고,한백엠트레이드,"['인천', '부평구']",신입·경력,학력무관,정규직,~ 09/21(일),/zf_user/jobs/relay/view?view_type=search&rec_idx=51463168&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=3a3c0aaa-5f54-4407-a76a-c436b7857101,51463168,2025-09-02 05:55:59
헬스케어,[미래컴퍼니/서울]헬스케어(의료기기) - 임상연구,(주)미래컴퍼니,"['서울', '송파구']",경력2년↑,대졸↑,정규직,~ 09/10(수),/zf_user/jobs/relay/view?view_type=search&rec_idx=51521581&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=3a3c0aaa-5f54-4407-a76a-c436b7857101,51521581,2025-09-02 05:55:59
헬스케어,[업계상위/연봉상향]헬스케어/식품 브랜드 컨설턴트 채용,(주)사람인에이치에스,"['서울', '성동구']",경력1년↑,대졸↑,정규직,채용시,/zf_user/jobs/relay/view?view_type=search&rec_idx=51631467&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=3a3c0aaa-5f54-4407-a76a-c436b7857101,51631467,2025-09-02 05:55:59
헬스케어,메디통-헬스케어그래픽·웹디자이너 인력 채용(주임.대리급),이유엔(주)-메디통,"['서울', '영등포구']",경력5년↑,대졸↑,정규직,~ 10/26(일),/zf_user/jobs/relay/view?view_type=search&rec_idx=51669032&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=3a3c0aaa-5f54-4407-a76a-c436b7857101,51669032,2025-09-02 05:55:59
헬스케어,웰니스헬스케어센터 관리자(점장) 채용,(주)바이오컴,"['서울', '강서구']",경력무관,학력무관,정규직,~ 09/24(수),/zf_user/jobs/relay/view?view_type=search&rec_idx=51642348&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=3a3c0aaa-5f54-4407-a76a-c436b7857101,51642348,2025-09-02 05:55:59
헬스케어,석·박사급 연구원 (AI헬스케어연구개발),하이퍼브레인(주),"['서울', '영등포구']",경력8년↑,석사↑,정규직·계약직,~ 10/01(수),/zf_user/jobs/relay/view?view_type=search&rec_idx=51701353&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=3a3c0aaa-5f54-4407-a76a-c436b7857101,51701353,2025-09-02 05:55:59
